Date,Close,Open,High,Low,Log_Returns
2020-03-09,2746.56,2863.89,2863.89,2734.43,-0.07901039484826664
2020-03-10,2882.23,2813.48,2882.59,2734.0,0.04821508053580021
2020-03-11,2741.38,2825.6,2825.6,2707.22,-0.05010285683741073
2020-03-12,2480.64,2630.86,2660.95,2478.86,-0.09994485184600743
2020-03-13,2711.02,2569.99,2711.33,2492.37,0.0888083564407466
2020-03-16,2386.13,2508.59,2562.98,2380.94,-0.12765214115647325
2020-03-17,2529.19,2425.66,2553.93,2367.04,0.0582262866907417
2020-03-18,2398.1,2436.5,2453.57,2280.52,-0.05322233622142454
2020-03-19,2409.39,2393.48,2466.97,2319.78,0.004696846277420959
2020-03-20,2304.92,2431.94,2453.01,2295.56,-0.0443276347431585
2020-03-23,2237.4,2290.71,2300.73,2191.86,-0.029731491257259945
2020-03-24,2447.33,2344.44,2449.71,2344.44,0.08968315694821649
2020-03-25,2475.56,2457.77,2571.42,2407.53,0.011468998674479099
2020-03-26,2630.07,2501.29,2637.01,2500.72,0.06054382875166776
2020-03-27,2541.47,2555.87,2615.91,2520.02,-0.03426780802262948
2020-03-30,2626.65,2558.98,2631.8,2545.28,0.03296661622145552
2020-03-31,2584.59,2614.69,2641.39,2571.15,-0.016142381973062482
2020-04-01,2470.5,2498.08,2522.75,2447.49,-0.04514632872715227
2020-04-02,2526.9,2458.54,2533.22,2455.79,0.022572695703622976
2020-04-03,2488.65,2514.92,2538.18,2459.96,-0.015252860231953606
2020-04-06,2663.68,2578.28,2676.85,2574.57,0.06796823056768604
2020-04-07,2659.41,2738.65,2756.89,2657.67,-0.0016043316629523077
2020-04-08,2749.98,2685.0,2760.75,2663.3,0.03348934524468995
2020-04-09,2789.82,2776.99,2818.57,2762.36,0.01438343869822631
2020-04-13,2761.63,2782.46,2782.46,2721.17,-0.010155992507349275
2020-04-14,2846.06,2805.1,2851.85,2805.1,0.0301144965504564
2020-04-15,2783.36,2795.64,2801.88,2761.54,-0.022276750679012372
2020-04-16,2799.55,2799.34,2806.51,2764.32,0.0057998589924373595
2020-04-17,2874.56,2842.43,2879.22,2830.88,0.026440929079185473
2020-04-20,2823.16,2845.62,2868.98,2820.43,-0.018042794099790368
2020-04-21,2736.56,2784.81,2785.54,2727.1,-0.031155167779795462
2020-04-22,2799.31,2787.89,2815.1,2775.95,0.022671301062101197
2020-04-23,2797.8,2810.42,2844.9,2794.26,-0.0005395641810268519
2020-04-24,2836.74,2812.64,2842.71,2791.76,0.013822111461719605
2020-04-27,2878.48,2854.65,2887.72,2852.89,0.014606871524449172
2020-04-28,2863.39,2909.96,2921.15,2860.71,-0.005256139460119837
2020-04-29,2939.51,2918.46,2954.86,2912.16,0.02623666320724924
2020-04-30,2912.43,2930.91,2930.91,2892.47,-0.00925511652526566
2020-05-01,2830.71,2869.09,2869.09,2821.61,-0.028460220686828817
2020-05-04,2842.74,2815.01,2844.24,2797.85,0.0042408122145938705
2020-05-05,2868.44,2868.88,2898.23,2863.55,0.00899995218953805
2020-05-06,2848.42,2883.14,2891.11,2847.65,-0.007003873398600344
2020-05-07,2881.19,2878.26,2901.92,2876.48,0.011438948664053582
2020-05-08,2929.8,2908.83,2932.16,2902.88,0.016730758062550522
2020-05-11,2930.32,2915.46,2944.25,2903.44,0.00017747076898242637
2020-05-12,2870.12,2939.5,2945.82,2869.59,-0.020757791338386403
2020-05-13,2820.0,2865.86,2874.14,2793.15,-0.017616955794106534
2020-05-14,2852.5,2794.54,2852.8,2766.64,0.01145891780407149
2020-05-15,2863.7,2829.95,2865.01,2816.78,0.003918692254435327
2020-05-18,2953.91,2913.86,2968.09,2913.86,0.031015221473356874
2020-05-19,2922.94,2948.59,2964.21,2922.35,-0.010539757419425795
2020-05-20,2971.61,2953.63,2980.29,2953.63,0.01651393441786152
2020-05-21,2948.51,2969.95,2978.5,2938.57,-0.007803935472623133
2020-05-22,2955.45,2948.05,2956.76,2933.59,0.002350965520250863
2020-05-26,2991.77,3004.08,3021.72,2988.17,0.012214261971750162
2020-05-27,3036.13,3015.65,3036.25,2969.75,0.014718492616296689
2020-05-28,3029.73,3046.61,3068.67,3023.4,-0.0021101714760443074
2020-05-29,3044.31,3025.17,3049.17,2998.61,0.004800767858804524
2020-06-01,3055.73,3038.78,3062.18,3031.54,0.003744242117017055
2020-06-02,3080.82,3064.78,3081.07,3051.64,0.008177278702023465
2020-06-03,3122.87,3098.9,3130.94,3098.9,0.013556655475681826
2020-06-04,3112.35,3111.56,3128.91,3090.41,-0.003374382935045795
2020-06-05,3193.93,3163.84,3211.72,3163.84,0.025874065601552972
2020-06-08,3232.39,3199.92,3233.13,3196.0,0.011969668235859062
2020-06-09,3207.18,3213.32,3222.71,3193.11,-0.007829755338198062
2020-06-10,3190.14,3213.42,3223.27,3181.49,-0.0053272433765708446
2020-06-11,3002.1,3123.53,3123.53,2999.49,-0.06075275919869289
